Date,TSLA Searches
2020-11-30,50
2020-12-01,61
2020-12-02,51
2020-12-03,50
2020-12-04,48
2020-12-05,14
2020-12-06,8
2020-12-07,59
2020-12-08,73
2020-12-09,74
2020-12-10,62
2020-12-11,50
2020-12-12,12
2020-12-13,8
2020-12-14,42
2020-12-15,45
2020-12-16,36
2020-12-17,50
2020-12-18,78
2020-12-19,27
2020-12-20,13
2020-12-21,75
2020-12-22,69
2020-12-23,48
2020-12-24,38
2020-12-25,13
2020-12-26,7
2020-12-27,7
2020-12-28,44
2020-12-29,37
2020-12-30,37
2020-12-31,42
2021-01-01,13
2021-01-02,12
2021-01-03,8
2021-01-04,47
2021-01-05,44
2021-01-06,56
2021-01-07,79
2021-01-08,100
2021-01-09,26
2021-01-10,15
2021-01-11,75
2021-01-12,72
2021-01-13,59
2021-01-14,56
2021-01-15,48
2021-01-16,14
2021-01-17,8
2021-01-18,15
2021-01-19,37
2021-01-20,40
2021-01-21,44
2021-01-22,38
2021-01-23,11
2021-01-24,5
2021-01-25,43
2021-01-26,49
2021-01-27,81
2021-01-28,81
2021-01-29,56
2021-01-30,18
2021-01-31,11
2021-02-01,46
2021-02-02,48
2021-02-03,47
2021-02-04,35
2021-02-05,36
2021-02-06,10
2021-02-07,4
2021-02-08,42
2021-02-09,38
2021-02-10,47
2021-02-11,43
2021-02-12,38
2021-02-13,10
2021-02-14,5
2021-02-15,10
2021-02-16,33
2021-02-17,42
2021-02-18,35
2021-02-19,37
2021-02-20,8
2021-02-21,6
2021-02-22,54
2021-02-23,99
2021-02-24,76
2021-02-25,61
2021-02-26,69
2021-02-27,14
2021-02-28,7
2021-03-01,41
2021-03-02,44
2021-03-03,45
2021-03-04,59
2021-03-05,86
2021-03-06,24
2021-03-07,10
2021-03-08,69
2021-03-09,87
2021-03-10,72
2021-03-11,52
2021-03-12,49
2021-03-13,12
2021-03-14,8
2021-03-15,41
2021-03-16,37
2021-03-17,43
2021-03-18,44
2021-03-19,41
2021-03-20,10
2021-03-21,7
2021-03-22,43
2021-03-23,42
2021-03-24,38
2021-03-25,40
2021-03-26,41
2021-03-27,10
2021-03-28,4
2021-03-29,41
2021-03-30,40
2021-03-31,43
2021-04-01,38
2021-04-02,22
2021-04-03,9
2021-04-04,7
2021-04-05,55
2021-04-06,40
2021-04-07,31
2021-04-08,37
2021-04-09,32
2021-04-10,8
2021-04-11,6
2021-04-12,33
2021-04-13,51
2021-04-14,47
2021-04-15,36
2021-04-16,34
2021-04-17,8
2021-04-18,8
2021-04-19,37
2021-04-20,35
2021-04-21,32
2021-04-22,34
2021-04-23,33
2021-04-24,7
2021-04-25,7
2021-04-26,67
2021-04-27,61
2021-04-28,40
2021-04-29,37
2021-04-30,35
2021-05-01,7
2021-05-02,6
