,environment_score,governance_score,social_score,environment_grade,social_grade,governance_grade,Name
VZ,200,200,205,B,B,B,Verizon Communications Inc.
TMO,520,265,330,A,BB,B,Thermo Fisher Scientific Inc.
ACN,580,315,386,A,BB,BB,Accenture plc
WFC,510,305,307,A,BB,BB,Wells Fargo & Company
LLY,515,308,305,A,BB,BB,Eli Lilly and Company
NKE,205,200,258,B,B,B,NIKE
PEP,552,310,342,A,BB,BB,PepsiCo
ABBV,510,309,344,A,BB,BB,AbbVie Inc.
DIS,500,310,306,A,BB,BB,The Walt Disney Company
KO,200,200,200,B,B,B,The Coca-Cola Company
CVX,210,210,217,B,B,B,CEMATRIX Corporation
PFE,500,300,301,A,BB,BB,Pfizer Inc.
XOM,600,328,467,AA,BBB,BB,Exxon Mobil Corporation
MA,210,215,230,B,B,B,Mastercard Incorporated
BAC,235,260,367,B,BB,B,Bank of America Corporation
HD,274,210,283,B,B,B,The Home Depot
WMT,350,245,336,BB,BB,B,Walmart Inc.
PG,560,310,422,A,BBB,BB,The Procter & Gamble Company
JPM,605,340,326,AA,BB,BB,JPMorgan Chase & Co.
UNH,500,300,300,A,BB,BB,UnitedHealth Group Incorporated
JNJ,500,300,300,A,BB,BB,Johnson & Johnson
V,501,305,306,A,BB,BB,Visa Inc.
