,environment_score,governance_score,social_score,environment_grade,social_grade,governance_grade,Name
AIZ,230,225,300,B,BB,B,Assurant
ANET,414,285,308,BBB,BB,B,Arista Networks
LW,348,305,251,BB,B,BB,Lamb Weston Holdings
NRG,371,223,296,BB,B,B,NRG Energy
WYNN,205,205,201,B,B,B,Wynn Resorts
FRT,525,300,302,A,BB,BB,Federal Realty Investment Trust
NWL,520,330,306,A,BB,BB,Newell Brands Inc.
SEE,555,245,318,A,BB,B,Sealed Air Corporation
IVZ,278,300,220,B,B,BB,Invictus Energy Limited
PNR,402,335,351,BBB,BB,BB,Pentair plc
TPR,515,313,364,A,BB,BB,Tapestry
GL,215,215,238,B,B,B,Group Lease Public Company Limited
MHK,520,238,281,A,B,B,Mohawk Industries
JNPR,225,205,332,B,BB,B,Juniper Networks
CDAY,560,320,379,A,BB,BB,Ceridian HCM Holding Inc.
BWA,245,228,205,B,B,B,BorgWarner Inc.
ZION,200,200,200,B,B,B,Zions Bancorporation
,240,213,300,B,BB,B,Zion
UHS,415,338,321,BBB,BB,BB,Universal Health Services
ALLE,542,315,322,A,BB,BB,Allegion plc
NI,321,213,298,BB,B,B,NiSource Inc.
SNA,500,256,300,A,BB,B,Snap-on Incorporated
SEDG,740,250,302,AA,BB,B,SolarEdge Technologies
RE,448,290,272,BBB,B,B,Everest Re Group
DVA,220,300,300,B,BB,BB,DaVita Inc.
XRAY,460,230,253,BBB,B,B,DENTSPLY SIRONA Inc.
WRK,535,300,318,A,BB,BB,WestRock Company
JKHY,365,310,277,BB,B,BB,Jack Henry & Associates
HST,505,318,318,A,BB,BB,Host Hotels & Resorts
REG,570,365,372,A,BB,BB,Regency Centers Corporation
APA,410,325,323,BBB,BB,BB,Apache Corporation
CMA,280,230,300,B,BB,B,Comerica Incorporated
WHR,505,300,320,A,BB,BB,Whirlpool Corporation
LUMN,520,338,326,A,BB,BB,Lumen Technologies
AOS,505,300,309,A,BB,BB,A. O. Smith Corporation
HAS,265,320,327,B,BB,BB,Hasbro
CBOE,515,300,307,A,BB,BB,Cboe Global Markets
FBHS,505,300,302,A,BB,BB,Fortune Brands Home & Security
RHI,255,310,333,B,BB,BB,Robert Half International Inc.
LNC,550,308,305,A,BB,BB,Lincoln National Corporation
FFIV,260,215,220,B,B,B,F5 Networks
LDOS,540,300,300,A,BB,BB,Leidos Holdings
