timestamp,shallow_preds,svm_preds,gbc_preds,lr_preds,deep_preds,sgdc_preds,mean,signal,entry/exit,close,position,entry/exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns
2021-08-06 00:00:00+00:00,0.0,0,0,0,0.0,0,0.0,0.0,0.0,66.4,0.0,0.0,0.0,6000.0,6000.0,,
2021-08-09 00:00:00+00:00,-0.44254163,1,1,-1,0.96332484,-1,0.08679720262686412,0.0,0.0,65.39,0.0,0.0,0.0,6000.0,6000.0,0.0,1.0
2021-08-10 00:00:00+00:00,-0.7104197,1,-1,1,0.814512,1,0.3506820499897003,0.0,0.0,66.27,0.0,0.0,0.0,6000.0,6000.0,0.0,1.0
2021-08-11 00:00:00+00:00,-0.44087777,1,1,-1,0.123835646,-1,-0.05284035330017408,0.0,0.0,66.76,0.0,0.0,0.0,6000.0,6000.0,0.0,1.0
2021-08-12 00:00:00+00:00,0.64512026,1,1,1,0.55646944,-1,0.5335982839266459,1.0,1.0,66.39,100.4,100.4,6665.56,-665.5600000000004,6000.0,0.0,1.0
2021-08-13 00:00:00+00:00,0.0013941848,1,-1,1,0.6191076,-1,0.10341696479978661,0.0,-1.0,66.22,0.0,-100.4,0.0,5982.93,5982.93,-0.0028,0.9972
2021-08-16 00:00:00+00:00,-0.3294902,1,1,1,0.871603,1,0.7570187995831171,1.0,1.0,65.56,100.4,100.4,6582.22,-599.29,5982.93,0.0,0.9972
2021-08-17 00:00:00+00:00,-0.32298815,-1,-1,-1,0.60214585,-1,-0.620140383640925,-1.0,-2.0,64.57,-100.4,-200.8,-6482.83,12366.36,5883.53,-0.0166,0.9806
2021-08-18 00:00:00+00:00,0.36674604,-1,1,-1,0.7128615,-1,-0.15339874724547067,0.0,1.0,64.48,0.0,100.4,0.0,5892.57,5892.57,0.0015,0.9821
2021-08-19 00:00:00+00:00,0.6130385,1,1,1,0.879966,1,0.9155007501443228,1.0,1.0,64.4,100.4,100.4,6465.76,-573.1899999999996,5892.57,0.0,0.9821
2021-08-20 00:00:00+00:00,0.3354574,1,-1,1,0.7788337,1,0.5190485169490179,1.0,0.0,64.87,100.4,0.0,6512.95,-573.1899999999996,5939.76,0.008,0.99
2021-08-23 00:00:00+00:00,0.7137169,1,1,1,0.9658303,1,0.9465912083784739,1.0,0.0,65.05,100.4,0.0,6531.02,-573.1899999999996,5957.83,0.003,0.9929
2021-08-24 00:00:00+00:00,0.05642497,1,-1,1,0.22338693,1,0.3799686500181754,0.0,-1.0,65.49,0.0,-100.4,0.0,6002.01,6002.01,0.0074,1.0003
2021-08-25 00:00:00+00:00,-0.7015146,1,-1,-1,0.7021552,-1,-0.33322657148043316,0.0,0.0,67.1,0.0,0.0,0.0,6002.01,6002.01,0.0,1.0003
2021-08-26 00:00:00+00:00,-0.43457025,1,-1,1,0.0024753308,1,0.2613175129905964,0.0,0.0,66.77,0.0,0.0,0.0,6002.01,6002.01,0.0,1.0003
2021-08-27 00:00:00+00:00,-0.6170801,1,1,-1,0.023062726,-1,-0.09900289432456096,0.0,0.0,68.03,0.0,0.0,0.0,6002.01,6002.01,0.0,1.0003
2021-08-30 00:00:00+00:00,-0.10325396,1,-1,1,0.53423625,-1,0.07183038194974263,0.0,0.0,68.2,0.0,0.0,0.0,6002.01,6002.01,0.0,1.0003
2021-08-31 00:00:00+00:00,-0.58985704,1,-1,-1,-0.03079058,-1,-0.43677460371206206,0.0,0.0,68.62,0.0,0.0,0.0,6002.01,6002.01,0.0,1.0003
2021-09-01 00:00:00+00:00,-0.16509774,1,-1,1,0.16573298,-1,0.0001058727502822876,0.0,0.0,69.0,0.0,0.0,0.0,6002.01,6002.01,0.0,1.0003
2021-09-02 00:00:00+00:00,-0.12663284,1,-1,1,0.234435,-1,0.017967027922471363,0.0,0.0,69.21,0.0,0.0,0.0,6002.01,6002.01,0.0,1.0003
2021-09-03 00:00:00+00:00,-0.14626226,1,-1,1,0.22936542,-1,0.013850527505079905,0.0,0.0,69.34,0.0,0.0,0.0,6002.01,6002.01,0.0,1.0003
2021-09-07 00:00:00+00:00,-0.093474664,-1,-1,-1,-0.030412449,-1,-0.6873145187273622,-1.0,-1.0,69.04,-100.4,-100.4,-6931.62,12933.619999999999,6002.0,-0.0,1.0003
2021-09-08 00:00:00+00:00,0.33902642,1,-1,1,0.602556,1,0.4902637352546056,1.0,2.0,69.04,100.4,200.8,6931.62,-929.6099999999997,6002.01,0.0,1.0003
2021-09-09 00:00:00+00:00,-0.42957756,1,1,1,0.5800369,-1,0.3584098865588506,0.0,-1.0,68.4,0.0,-100.4,0.0,5937.75,5937.75,-0.0107,0.9896
2021-09-10 00:00:00+00:00,-0.50151956,-1,1,-1,0.5811258,-1,-0.3200656274954478,0.0,0.0,66.24,0.0,0.0,0.0,5937.75,5937.75,0.0,0.9896
2021-09-13 00:00:00+00:00,0.2706253,1,1,1,0.5907224,1,0.8102246125539144,1.0,1.0,68.06,100.4,100.4,6833.22,-895.4700000000003,5937.75,0.0,0.9896
