timestamp,shallow_preds,svm_preds,gbc_preds,lr_preds,deep_preds,sgdc_preds,mean,signal,entry/exit,close,position,entry/exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns
2021-08-06 00:00:00+00:00,0.0,0,0,0,0.0,0,0.0,0.0,0.0,129.71,0.0,0.0,0.0,34000.0,34000.0,,
2021-08-09 00:00:00+00:00,-0.8876761,1,-1,-1,-0.015370166,-1,-0.48384104762226343,-1.0,-1.0,130.01,-291.25,-291.25,-37865.41,71865.41,34000.0,0.0,1.0
2021-08-10 00:00:00+00:00,-0.6810926,1,-1,-1,-0.10108326,-1,-0.4636959793666999,-1.0,0.0,129.35,-291.25,0.0,-37673.19,71865.41,34192.22,0.0057,1.0057
2021-08-11 00:00:00+00:00,-0.9128674,1,1,-1,-0.3298574,-1,-0.20712080597877502,0.0,1.0,128.9,0.0,291.25,0.0,34323.29,34323.29,0.0038,1.0095
2021-08-12 00:00:00+00:00,-0.92478865,1,1,-1,0.045381468,-1,-0.14656786434352398,0.0,0.0,130.07,0.0,0.0,0.0,34323.29,34323.29,0.0,1.0095
2021-08-13 00:00:00+00:00,-0.8503968,1,-1,-1,-0.10954993,-1,-0.49332445735732716,-1.0,-1.0,131.98,-291.25,-291.25,-38439.17,72762.45999999999,34323.29,0.0,1.0095
2021-08-16 00:00:00+00:00,-0.98514336,1,-1,-1,-0.2911008,-1,-0.5460406939188639,-1.0,0.0,133.69,-291.25,0.0,-38937.21,72762.45999999999,33825.25,-0.0145,0.9949
2021-08-17 00:00:00+00:00,-0.97928727,1,-1,-1,-0.07505549,-1,-0.5090571256975333,-1.0,0.0,134.08,-291.25,0.0,-39050.8,72762.45999999999,33711.66,-0.0034,0.9915
2021-08-18 00:00:00+00:00,-0.8439198,1,-1,1,-0.015370166,-1,-0.14321499659369388,0.0,1.0,132.5,0.0,291.25,0.0,34171.84,34171.84,0.0137,1.0051
2021-08-19 00:00:00+00:00,-0.974527,1,-1,1,-0.4580248,-1,-0.23875863353411356,0.0,0.0,133.15,0.0,0.0,0.0,34171.84,34171.84,0.0,1.0051
2021-08-20 00:00:00+00:00,-0.9857263,1,-1,1,-0.02433546,-1,-0.1683436262731751,0.0,0.0,134.25,0.0,0.0,0.0,34171.84,34171.84,0.0,1.0051
