,index,subj_score,simi_score,vader_score
0,2021-09-02,0.31401104016398623,0.652271643478575,0.7641049999999999
1,2021-09-03,0.3588106954756939,0.88735842834192,0.9068949999999999
2,2021-09-06,0.21505704627697306,0.1375145819718277,0.5151049999999998
3,2021-09-07,0.38111841955413006,0.9276998785842082,0.9156600000000001
4,2021-09-08,0.4104806765066763,0.9651690319844975,0.9376000000000001
5,2021-09-09,0.380427936432007,0.9924642357350013,0.9514549999999999
6,2021-09-13,0.37852060980591895,0.8388971879626677,0.8959799999999998
7,2021-09-14,0.3844266556528626,1.0484948533000942,0.9693199999999997
8,2021-09-15,0.3228721709392399,0.7185068913750972,0.7831449999999998
9,2021-09-16,0.3986909471042019,0.9365355326010949,0.8910650000000002
10,2021-09-17,0.3954439139231384,1.0095085539412363,0.9726250000000002
11,2021-09-20,0.31025165590504467,0.7178467674979643,0.7262200000000001
12,2021-09-21,0.4141737975918972,0.9588846723696662,0.9443449999999999
13,2021-09-22,0.3630612213304837,0.8285443501689947,0.8647499999999999
14,2021-09-23,0.39145646810981244,1.0110584562975355,0.971485
15,2021-09-24,0.3791177622499079,0.8800725030011305,0.88893
16,2021-09-27,0.44598394286758153,1.0127669492462108,0.9926150000000001
17,2021-09-28,0.3689508054846281,0.9721041737142423,0.9535849999999998
18,2021-09-29,0.32515133062904183,0.74564610952441,0.7939949999999999
19,2021-09-30,0.2821035011423247,0.33328139967967285,0.6669499999999999
20,2021-10-01,0.23334455448415187,0.2941831240697371,0.6020249999999999
21,2021-10-04,0.33337428021280346,0.7418859286994665,0.76858
22,2021-10-05,0.42312508138027116,1.0009852412909948,0.9718100000000002
23,2021-10-06,0.333687161511158,0.6305982573813239,0.749125
24,2021-10-07,0.37065795936091916,0.9922287025710361,0.954345
25,2021-10-08,0.21730273128678057,0.12152956914138509,0.47734999999999983
26,2021-10-11,0.37563354715356395,0.8812958509143218,0.9061200000000001
27,2021-10-12,0.3545518663043353,0.8535925908385472,0.8405099999999999
28,2021-10-13,0.39560749947420815,1.0075248544833286,0.92545
29,2021-10-14,0.3809565837100617,0.9031855600743646,0.8922699999999999
30,2021-10-15,0.33673069464756444,0.9351268661313611,0.8986749999999999
31,2021-10-18,0.3888536381696352,0.937506671850997,0.9039999999999999
32,2021-10-19,0.3885713242045883,0.9559997196466214,0.9088750000000001
33,2021-10-20,0.34938134619460587,0.8130569984063498,0.7971500000000001
34,2021-10-21,0.3097392897796438,0.8220478738762651,0.8004199999999999
35,2021-10-22,0.3836155599669296,0.9641145630285008,0.9293799999999999
36,2021-10-25,0.3961200268122004,0.9577570599289492,0.9344099999999997
37,2021-10-26,0.3114221114338179,0.9113626032737688,0.8933599999999998
38,2021-10-27,0.349543699288916,0.8554988841447161,0.8379399999999997
39,2021-10-28,0.35103464302984194,0.8769734138579507,0.8517899999999999
40,2021-10-29,0.36566988115397137,1.000858283987785,0.95566
41,2021-11-01,0.41303483669194935,0.9318985902960065,0.9094749999999998
42,2021-11-02,0.33428677473345136,0.9941295380595531,0.926215
43,2021-11-03,0.3539573799868031,0.5885972370788388,0.7785350000000001
44,2021-11-04,0.3467273111719254,0.7633855378945409,0.75406
45,2021-11-05,0.36406508463639226,0.8585342645988586,0.900355
46,2021-11-08,0.3453509658947463,0.8997542907758247,0.882005
47,2021-11-09,0.3907668369657088,0.9633644865030574,0.9256650000000001
48,2021-11-10,0.29394439634175146,0.4576310688971085,0.70057
49,2021-11-11,0.326457607210907,0.4836728990704632,0.7348100000000001
50,2021-11-12,0.37523198311602407,0.7686643400281146,0.8304349999999999
51,2021-11-15,0.38954411901761726,0.9420972022107194,0.9147299999999999
52,2021-11-16,0.36263211763484254,0.5053223455262474,0.7473349999999999
53,2021-11-17,0.15822073194466582,-0.023634331816149722,0.3531099999999998
54,2021-11-18,0.3482295388006124,0.9019613645531848,0.8567649999999999
55,2021-11-19,0.39068974099339815,0.8180116627199949,0.8829199999999998
56,2021-11-22,0.4030224653961634,0.9495842569816684,0.9257199999999998
57,2021-11-23,0.3894582604337065,0.9796775948353738,0.944915
58,2021-11-24,0.36173783562848455,0.9225116417810476,0.88469
59,2021-11-25,0.35317613636831935,0.893313314951986,0.88071
60,2021-11-26,0.41057377252393756,0.8093135829419905,0.88978
61,2021-11-29,0.3951577622011194,0.9338276789856226,0.907805
62,2021-11-30,0.27508659709716055,0.5520531996209488,0.684245
63,2021-12-01,0.3829776877023007,0.9206496325282902,0.8848900000000001
64,2021-12-02,0.3508924192479785,0.7202488379956505,0.7778249999999999
65,2021-12-03,0.2770902941132028,0.5953914111324079,0.6913999999999998
66,2021-12-06,0.39329091020181345,0.8244770399888732,0.8701649999999999
67,2021-12-07,0.35886798746965065,0.8428170804343631,0.8868699999999998
68,2021-12-08,0.3233038692595442,0.7071751890948728,0.7416799999999998
69,2021-12-09,0.2593188322806602,0.7495827823960388,0.7652899999999997
70,2021-12-10,0.2762209196111467,0.7105035495705024,0.7924
71,2021-12-13,0.3133605402412699,0.8450837478988472,0.8617399999999998
72,2021-12-14,0.3465989654380152,0.8341440330724847,0.859845
73,2021-12-15,0.33576556792292495,0.8730481503535719,0.8426349999999998
74,2021-12-16,0.38531914269500467,0.9815150358587964,0.9339400000000001
75,2021-12-17,0.2735463458803321,0.39715239932298674,0.6713299999999999
76,2021-12-20,0.2059222432803307,0.6934782483635785,0.7428249999999996
77,2021-12-21,0.33272338046575606,0.8738060798363833,0.8455799999999997
78,2021-12-22,0.33189501667971655,0.8773092293060067,0.8841699999999999
