timestamp,open,high,low,close,volume,trade_count,vwap
2021-02-08 05:00:00+00:00,45.25,47.23,45.1,46.78,12192572,84433,46.384437
2021-02-09 05:00:00+00:00,46.22,47.44,45.86,46.88,8990348,66193,46.770478
2021-02-10 05:00:00+00:00,47.16,48.0,46.4111,47.25,10853239,78603,47.279225
2021-02-11 05:00:00+00:00,46.5,46.52,45.21,46.44,8939404,66003,46.005767
2021-02-12 05:00:00+00:00,46.11,47.22,45.95,47.16,8892372,66460,46.824201
2021-02-16 05:00:00+00:00,48.0,49.23,47.82,48.85,11066655,84184,48.723472
2021-02-17 05:00:00+00:00,49.19,49.48,48.26,49.36,9182221,75906,48.964422
2021-02-18 05:00:00+00:00,49.0,49.13,47.63,47.69,8384479,60629,48.098662
2021-02-19 05:00:00+00:00,47.65,48.565,47.51,48.42,8502742,57829,48.197837
2021-02-22 05:00:00+00:00,49.17,51.68,48.81,50.88,12331024,94388,50.844591
2021-02-23 05:00:00+00:00,52.0,52.5,49.66,52.1,10796494,95983,51.731357
2021-02-24 05:00:00+00:00,52.0,54.89,51.46,54.67,12286608,91116,54.049573
2021-02-25 05:00:00+00:00,55.0,55.51,52.02,53.03,12864462,101960,53.306571
2021-02-26 05:00:00+00:00,52.42,52.855,50.86,52.01,13234115,99711,52.158844
2021-03-01 05:00:00+00:00,53.47,53.96,52.17,52.61,7183680,61826,52.960262
2021-03-02 05:00:00+00:00,52.51,53.29,52.24,52.28,7741169,64622,52.634337
2021-03-03 05:00:00+00:00,52.66,54.7611,52.55,53.66,8007466,68802,53.870048
2021-03-04 05:00:00+00:00,53.96,56.99,53.68,55.62,15181016,130858,55.429686
2021-03-05 05:00:00+00:00,57.79,59.49,57.11,58.34,18699570,147108,58.328931
2021-03-08 05:00:00+00:00,58.92,59.94,57.69,58.78,11283563,94318,58.730438
2021-03-09 05:00:00+00:00,58.37,59.6,57.45,57.9,10293647,91825,58.504952
2021-03-10 05:00:00+00:00,57.93,59.77,57.38,59.42,12002417,101105,58.904097
2021-03-11 05:00:00+00:00,59.51,61.14,59.4001,59.83,9328131,76033,60.179431
2021-03-12 05:00:00+00:00,60.24,60.4699,58.98,59.19,6758422,63965,59.465064
2021-03-15 04:00:00+00:00,57.99,58.57,56.9701,58.16,9826210,77878,57.767925
2021-03-16 04:00:00+00:00,56.94,57.4,55.97,56.58,9399859,67595,56.616028
2021-03-17 04:00:00+00:00,56.58,57.13,55.52,56.83,9461688,85947,56.484318
2021-03-18 04:00:00+00:00,56.41,56.58,53.11,53.38,12297466,102403,54.611346
2021-03-19 04:00:00+00:00,53.15,54.115,52.35,52.6,26927479,123789,53.03496
2021-03-22 04:00:00+00:00,52.9,53.01,52.04,52.24,11002971,76701,52.451862
2021-03-23 04:00:00+00:00,51.12,52.78,50.53,51.71,11853794,101840,51.937282
2021-03-24 04:00:00+00:00,52.76,53.95,52.68,53.21,9673876,81601,53.343883
2021-03-25 04:00:00+00:00,52.09,53.8,51.57,53.57,9275165,79673,52.708812
2021-03-26 04:00:00+00:00,54.66,55.12,54.03,55.04,8723090,76438,54.628244
2021-03-29 04:00:00+00:00,54.5,54.52,53.12,53.84,7901110,73239,53.936857
2021-03-30 04:00:00+00:00,53.2,54.16,53.04,53.43,7915185,67170,53.490203
2021-03-31 04:00:00+00:00,53.31,53.685,52.65,52.97,9300261,62902,53.106156
2021-04-01 04:00:00+00:00,53.48,54.0376,52.53,54.02,10146893,81112,53.478082
2021-04-05 04:00:00+00:00,53.75,53.91,51.95,52.21,10447613,76793,52.661043
2021-04-06 04:00:00+00:00,52.73,53.655,52.405,52.58,6243468,47258,52.781166
2021-04-07 04:00:00+00:00,52.76,53.16,52.141,52.38,12387023,82501,52.468111
2021-04-08 04:00:00+00:00,51.63,51.82,51.04,51.24,10012579,80803,51.382243
2021-04-09 04:00:00+00:00,51.33,51.99,50.915,51.23,6633132,56084,51.309613
2021-04-12 04:00:00+00:00,51.74,52.24,50.82,50.86,7515606,65946,51.446324
2021-04-13 04:00:00+00:00,50.54,51.33,50.39,50.79,6269422,51655,50.896632
2021-04-14 04:00:00+00:00,51.38,53.56,51.38,52.69,7501980,68124,52.664808
2021-04-15 04:00:00+00:00,52.73,52.81,51.77,51.9,5802760,50010,52.079648
2021-04-16 04:00:00+00:00,52.23,52.3,51.04,51.09,6514753,51306,51.403829
2021-04-19 04:00:00+00:00,51.33,51.73,50.58,50.89,5895914,57605,50.955879
2021-04-20 04:00:00+00:00,50.42,50.64,48.415,48.65,11036922,80631,48.964983
2021-04-21 04:00:00+00:00,47.9,50.13,47.85,50.04,7701376,64934,49.672736
2021-04-22 04:00:00+00:00,50.08,50.08,49.19,49.46,6561481,54895,49.579128
2021-04-23 04:00:00+00:00,49.38,50.0,49.16,49.72,5666002,42627,49.713828
2021-04-26 04:00:00+00:00,49.63,50.92,49.6,50.25,6621725,49249,50.420414
2021-04-27 04:00:00+00:00,50.42,51.69,50.26,51.3,8252835,62182,51.125676
2021-04-28 04:00:00+00:00,51.7,53.35,51.67,53.04,8957842,68686,52.924436
2021-04-29 04:00:00+00:00,53.89,54.495,52.85,53.13,9353120,73650,53.410472
2021-04-30 04:00:00+00:00,52.09,53.01,50.97,51.14,9401397,67201,51.579781
2021-05-03 04:00:00+00:00,51.9,52.925,51.5603,52.74,9301816,65429,52.42156
2021-05-04 04:00:00+00:00,52.43,53.03,51.64,52.57,12762438,79651,52.535986
2021-05-05 04:00:00+00:00,54.29,55.6719,53.22,55.44,12686544,93672,54.98611
2021-05-06 04:00:00+00:00,55.56,55.72,53.69,55.7,8748838,74543,54.880165
2021-05-07 04:00:00+00:00,54.88,57.34,54.82,57.1,9639736,75200,56.711219
2021-05-10 04:00:00+00:00,58.33,59.34,56.96,57.0,8228695,78749,57.793503
2021-05-11 04:00:00+00:00,55.79,56.72,55.15,55.72,9701170,85469,55.886749
2021-05-12 04:00:00+00:00,56.29,57.71,55.46,55.69,7877602,73762,56.490361
2021-05-13 04:00:00+00:00,54.52,55.43,53.57,54.24,7476856,73147,54.490931
2021-05-14 04:00:00+00:00,55.12,56.645,55.03,56.52,5488758,56024,56.172008
2021-05-17 04:00:00+00:00,56.21,58.33,56.07,58.3,11441933,77007,57.439303
2021-05-18 04:00:00+00:00,58.27,58.64,56.96,57.29,10321987,92824,57.621645
2021-05-19 04:00:00+00:00,55.94,56.53,54.815,55.58,9410494,85598,55.564186
2021-05-20 04:00:00+00:00,55.45,55.66,54.634,55.39,8798792,72599,55.251585
2021-05-21 04:00:00+00:00,56.06,56.43,55.57,55.65,6032255,52251,55.910542
2021-05-24 04:00:00+00:00,56.12,56.26,55.26,56.1,6372798,53878,55.891235
2021-05-25 04:00:00+00:00,56.0,56.375,54.77,54.88,8090778,68704,55.174344
2021-05-26 04:00:00+00:00,55.07,55.56,54.67,55.42,6714941,61814,55.218808
2021-05-27 04:00:00+00:00,55.73,56.32,55.12,55.53,7484325,55762,55.522714
2021-05-28 04:00:00+00:00,55.8,55.95,55.32,55.74,5746546,47519,55.69115
2021-06-01 04:00:00+00:00,57.08,58.48,57.05,58.27,9943614,81308,57.936659
2021-06-02 04:00:00+00:00,58.65,59.41,57.74,58.99,6103331,56485,58.903625
2021-06-03 04:00:00+00:00,58.72,60.0,58.56,59.47,8280778,66655,59.532891
2021-06-04 04:00:00+00:00,59.82,60.13,58.9,59.85,6504767,48607,59.639284
2021-06-07 04:00:00+00:00,59.81,60.53,59.585,59.81,5405072,46758,59.845553
2021-06-08 04:00:00+00:00,59.43,60.62,58.63,60.47,7345202,67039,60.152099
2021-06-09 04:00:00+00:00,60.63,60.88,59.58,59.68,7033019,60388,60.054889
2021-06-10 04:00:00+00:00,61.0,61.28,59.28,60.17,9378493,79616,60.410084
2021-06-11 04:00:00+00:00,60.59,60.93,59.8,59.97,8095830,63456,60.122455
2021-06-14 04:00:00+00:00,60.53,61.07,59.85,60.31,7737237,67029,60.415933
2021-06-15 04:00:00+00:00,60.62,61.555,60.47,61.17,7829417,64713,61.160974
2021-06-16 04:00:00+00:00,61.1,61.7799,60.56,61.13,9724276,84122,61.16863
2021-06-17 04:00:00+00:00,60.865,61.57,58.55,59.01,13606573,112534,59.665947
2021-06-18 04:00:00+00:00,58.0,59.21,57.48,57.53,18533537,112455,58.055785
2021-06-21 04:00:00+00:00,58.325,60.529,58.21,60.45,8215329,75490,59.74538
2021-06-22 04:00:00+00:00,60.1,61.12,59.64,60.79,6726958,54950,60.637482
2021-06-23 04:00:00+00:00,61.44,62.35,60.75,60.76,8162585,59392,61.364579
2021-06-24 04:00:00+00:00,60.86,61.51,60.32,61.39,6406719,49509,61.172148
2021-06-25 04:00:00+00:00,61.71,61.75,61.015,61.31,8078800,55741,61.328166
2021-06-28 04:00:00+00:00,61.15,61.165,59.37,59.59,7637287,68017,59.76952
2021-06-29 04:00:00+00:00,60.13,60.2,58.835,59.05,6431164,56540,59.360529
2021-06-30 04:00:00+00:00,60.22,60.945,59.8081,60.9,9301250,69774,60.576754
2021-07-01 04:00:00+00:00,62.67,63.57,62.35,62.88,11613922,92775,62.95691
2021-07-02 04:00:00+00:00,62.41,63.17,61.59,62.75,7629351,59187,62.643473
2021-07-06 04:00:00+00:00,62.85,62.89,60.2099,60.28,11693197,96940,61.052637
2021-07-07 04:00:00+00:00,60.02,60.78,58.6301,59.01,8233771,77217,59.283764
2021-07-08 04:00:00+00:00,58.21,59.64,57.99,59.21,10533287,82384,58.96486
2021-07-09 04:00:00+00:00,59.86,60.46,59.34,60.13,6949997,56091,60.045819
2021-07-12 04:00:00+00:00,59.0,60.44,58.7325,59.8,6057683,54347,59.820646
2021-07-13 04:00:00+00:00,59.36,59.99,58.8,59.46,6489925,59638,59.388164
2021-07-14 04:00:00+00:00,59.865,60.61,57.34,57.67,8468057,75580,58.32275
2021-07-15 04:00:00+00:00,56.84,58.22,56.79,57.08,8694901,70072,57.390832
2021-07-16 04:00:00+00:00,57.84,57.9,55.305,55.5,8788202,71371,56.094667
2021-07-19 04:00:00+00:00,53.35,54.3,52.82,53.7,13268387,119868,53.399077
2021-07-20 04:00:00+00:00,53.48,55.25,53.28,54.47,9321937,78728,54.463117
2021-07-21 04:00:00+00:00,55.71,57.415,55.61,57.02,9347315,79373,56.77445
2021-07-22 04:00:00+00:00,57.0,57.21,56.18,56.67,6757373,54653,56.724199
2021-07-23 04:00:00+00:00,56.2,56.28,54.735,55.34,10612942,76499,55.295004
2021-07-26 04:00:00+00:00,55.57,57.35,55.57,56.87,8750867,62202,56.545325
2021-07-27 04:00:00+00:00,56.18,56.62,55.34,56.33,7360826,63822,56.053702
2021-07-28 04:00:00+00:00,56.69,57.15,55.81,56.72,6149428,54349,56.598757
2021-07-29 04:00:00+00:00,57.46,57.84,56.86,57.08,6292648,57199,57.276603
2021-07-30 04:00:00+00:00,56.82,56.9,55.72,56.06,8641925,57481,56.096744
2021-08-02 04:00:00+00:00,56.36,57.76,55.33,55.38,8444258,69962,56.182386
2021-08-03 04:00:00+00:00,54.81,56.768,54.51,56.64,9868979,77369,56.21491
2021-08-04 04:00:00+00:00,55.34,56.5,54.91,54.93,7622966,66603,55.397988
2021-08-05 04:00:00+00:00,55.4,56.62,55.05,55.95,6568067,56834,56.084755
