timestamp,vama,rsi,ao,ema,evwma,msd,efi,stochrsi,tp,frama,kama,hma,obv,cfi,sma,ssma,dema,tema,trima,trix,smm,zlema,vwap,smma,mom,uo,vzo,pzo
2021-05-31 00:00:00+00:00,2595.210754916764,47.115131034371124,-587.9817941176475,2550.690441989569,2830.7458625111476,655.1519093967377,-7563452.408114552,0.28713506971603087,2666.8399999999997,2474.8570131411734,2831.2687896085954,2451.402844771242,-1463322.51645746,-677822653.6212709,2974.8548780487804,2702.641868113564,2398.7260880047884,2452.068114756881,3299.26012345679,0.11274010905965584,2637.46,2355.566390480837,2465.427794505583,2622.0841792393194,202.5999999999999,51.29156256181823,-7.257822487523316,1.788218061240178
2021-06-01 00:00:00+00:00,2589.892692348756,47.06092265416476,-602.6549705882353,2567.4363535918897,2822.946576780639,578.1172340356653,-6592193.6715688305,0.2899934003732458,2625.4866666666667,2517.239263506811,2823.3244792289056,2481.236741013073,-1714849.3270689698,-678920230.2634571,2979.446097560976,2695.0616464005066,2459.2615996863,2536.9669011510564,3257.642962962963,0.03394524156167989,2637.46,2365.110255703265,2467.732167234587,2622.3990747150247,346.7600000000002,48.246514073258496,-20.51950477019034,-11.708761609281712
2021-06-02 00:00:00+00:00,2573.7755899995755,49.73861333842825,-552.4356470588236,2606.9750828739548,2822.554017205263,526.2448996522443,-4920265.360352359,0.3009633101498931,2733.5,2575.0868869160145,2816.913176859016,2533.357730392157,-1675745.17180024,-678888919.4913816,2993.0278048780488,2702.8470319362054,2552.066263175289,2656.8432517123397,3209.2455555555553,-0.029847289335630797,2637.46,2419.228571858959,2468.3256977249944,2626.0363086713382,657.8600000000001,53.019965060505676,-17.505350312827474,3.748269304482438
2021-06-03 00:00:00+00:00,2594.0639866693155,48.88662433986963,-447.46914705882364,2630.2420662993723,2821.07649411204,483.0940734952056,-4732122.936528318,0.3055158863190855,2755.3866666666668,2604.552479785032,2815.804489001603,2590.16449754902,-1761906.5402709,-679518441.3014942,3001.6439024390247,2705.1206984066766,2604.92859728083,2712.4264686543293,3156.9944444444445,-0.08221055758322596,2637.46,2474.0448566572304,2469.731332963577,2628.5110072689527,72.07000000000016,52.257379185737996,-22.437086804816627,-10.348675010540385
2021-06-04 00:00:00+00:00,2620.3810353931526,48.19297216361497,-380.08605882352913,2642.329653039584,2816.4987358539056,389.44379494962106,-5026944.834333279,0.3133793936061105,2662.1566666666663,2614.6237827884875,2815.0977866040735,2639.3877508169935,-1970177.3393208198,-681269118.4504436,3013.7948780487804,2703.5161742586506,2631.748947216939,2729.533454872281,3101.3260493827165,-0.12573937501115479,2637.46,2533.3288538023403,2471.9822852902444,2630.0900466708445,-16.88000000000011,56.629501966373525,-33.521637551019616,-22.373218088879142
2021-06-05 00:00:00+00:00,2627.4920736760632,46.85601994331795,-370.0130882352937,2639.8137224316533,2810.4944623059328,296.82806975226873,-5965710.249694676,0.32159255244262297,2666.2833333333333,2616.2749250149327,2812.8212588384713,2676.459281862745,-2160531.8873334397,-684810272.9561921,3018.0531707317073,2695.319923126131,2629.336413287207,2707.646736753927,3044.5199691358025,-0.16337255748477858,2634.42,2538.881164329386,2474.0376810201597,2630.0814234829954,-78.15000000000009,55.33985076545217,-42.228477785597825,-32.572084919807125
2021-06-06 00:00:00+00:00,2656.441503501622,50.26910358467931,-328.492088235294,2665.7949779454416,2810.092879630147,254.29609431302268,-4031200.275203221,0.3346283213666156,2753.6066666666666,2623.7320266025868,2812.140815865988,2717.179317810457,-2106407.0081482097,-686330152.2171825,3024.3875609756096,2703.586606894584,2678.198135040901,2759.1507668061085,2990.2781481481484,-0.19141934810198144,2637.46,2560.591498737573,2474.8760566669794,2633.6170175415546,112.25,59.45288157990541,-36.368759444264015,-14.319297505046594
2021-06-07 00:00:00+00:00,2654.1266019624204,44.396392579841866,-342.46176470588216,2633.0399823562334,2802.5045778918557,203.82255136456925,-8505950.514364218,0.33387650813056774,2517.976666666667,2620.0611619986207,2810.121875885181,2718.868852941176,-2238474.4399336996,-694001771.8836524,3021.172682926829,2681.190296624844,2616.758511561249,2658.572914661023,2935.9945061728395,-0.2194955067992649,2637.46,2540.9968855264333,2475.189144072519,2630.290056598299,31.84999999999991,48.83114989200586,-42.9824712825672,-25.07213936266059
2021-06-08 00:00:00+00:00,2643.1174068531072,43.502334278878294,-376.48361764705896,2598.0899858848843,2797.0483238147813,189.26705488101697,-7689952.296103124,0.33153626040972245,2463.2066666666665,2614.7485349609433,2801.668284662012,2683.094383986928,-2302365.6601141794,-700786544.8940803,3015.680487804878,2656.4235767361815,2557.104812071848,2570.7933721372146,2884.611141975309,-0.24807221922027345,2637.46,2520.1108354273097,2475.1471825997014,2625.948040049613,159.1199999999999,46.27155481633117,-46.10915007412383,-34.40474489876113
2021-06-09 00:00:00+00:00,2637.5453441716254,47.48642828517352,-371.58538235294054,2600.7259887079135,2786.8584667769755,187.828741627657,-1614036.0699020585,0.33269687898537487,2562.986666666667,2614.3318595511523,2792.9376300799895,2646.7210898692815,-2074613.9224487194,-700002911.7517332,3011.839268292683,2651.4065090056074,2570.0466519159263,2589.242169585048,2837.1659259259263,-0.271565522848106,2634.42,2537.3194444814617,2476.2301779398194,2625.5780344510945,297.4699999999998,48.06553387342859,-19.219224813664802,-16.603949468774292
2021-06-10 00:00:00+00:00,2625.1747374158244,44.55948217292684,-386.8253529411759,2576.3707909662853,2782.8552720681346,181.62522523959575,-2210729.841510513,0.3319718125935707,2460.43,2598.115178551786,2784.9587402622196,2596.4558839869287,-2118378.2243872294,-700414646.8957642,3002.8760975609757,2632.2446622841944,2532.3431633394134,2537.0209448068003,2795.2589197530865,-0.2944833265913689,2629.75,2546.3148646179616,2476.192833203425,2621.8869815685216,-158.51000000000022,49.138115296321054,-22.386288844752496,-27.169709551084004
