,index,subj_score,simi_score,vader_score
0,2021-08-30,0.2206186590762503,0.13157822205311967,0.46843
1,2021-08-31,0.2988118876852195,0.31491391122119616,0.68232
2,2021-09-01,0.38009004562450877,0.8226811579429392,0.8773100000000001
3,2021-09-02,0.22812210928046833,0.167491105241667,0.5740749999999999
4,2021-09-03,0.23133554479218815,0.11246112900007736,0.5157549999999999
5,2021-09-06,0.08736180939624057,-0.09716570957115613,0.22084499999999974
6,2021-09-07,0.25783414947366545,0.33527998926651115,0.6268549999999998
7,2021-09-08,0.26499627497942246,0.3708389842979951,0.6477950000000001
8,2021-09-09,0.20508672663513688,0.2339029989183888,0.5684799999999999
9,2021-09-10,0.17026676138757363,0.056607363817438604,0.4104249999999999
10,2021-09-13,0.34842675143570345,0.5045491265230059,0.7847199999999999
11,2021-09-14,0.3676651837378762,1.0063913771556057,0.9423350000000001
12,2021-09-15,0.2041605645909474,0.06602040554761193,0.45322499999999993
13,2021-09-16,0.3364390443102311,0.9332437336407216,0.8882450000000004
14,2021-09-17,0.37157263848933336,0.8922672203504405,0.8942150000000002
15,2021-09-20,0.3062114469686913,0.5752105988246385,0.72509
16,2021-09-21,0.18457606627553638,0.02088235683489339,0.39501999999999987
17,2021-09-22,0.3135886112033726,0.46708047148029996,0.7148599999999999
18,2021-09-23,0.295066293236549,0.2762141731234188,0.6058399999999999
19,2021-09-24,0.4010844677666442,0.9823438783830276,0.933295
20,2021-09-27,0.3350541016191469,0.6346520912183304,0.78417
21,2021-09-28,0.3946183336750123,0.9346931257019235,0.9255800000000001
22,2021-09-29,0.33438370828477987,0.7546950031469499,0.8212550000000001
23,2021-09-30,0.3576196317874481,0.6441147736008273,0.8309150000000001
24,2021-10-01,0.376027558925958,0.8402069142014426,0.9009350000000002
25,2021-10-04,0.38427004966990286,0.8507923263361137,0.8665049999999999
26,2021-10-05,0.34933667988817485,0.9104540382948805,0.9035599999999999
27,2021-10-06,0.3475401187331807,0.9246701583407168,0.8803750000000001
28,2021-10-07,0.3852680995296304,0.8810462502796923,0.911685
29,2021-10-08,0.3466973448012588,0.6703771655625635,0.7905800000000001
30,2021-10-11,0.3600600207117076,0.7239890090228813,0.8616699999999999
31,2021-10-12,0.3869771356298395,0.949731328699363,0.94543
32,2021-10-13,0.37389306414075774,0.9683159875942406,0.9245299999999999
33,2021-10-14,0.4064087250688429,0.9044427068976709,0.8856750000000002
34,2021-10-15,0.3481277766969545,0.8775592881177541,0.8666600000000001
35,2021-10-18,0.3142136678848599,0.4383582599619598,0.7201299999999999
36,2021-10-19,0.26796586898993774,0.2567147206181752,0.5777349999999999
37,2021-10-20,0.3031920298150197,0.7859587071515198,0.8021850000000003
38,2021-10-21,0.2283317717562096,0.4207747805582449,0.63095
39,2021-10-22,0.2082987918878559,0.2756543161616022,0.5821599999999998
40,2021-10-25,0.2905657694812939,0.7717942994077456,0.81326
41,2021-10-26,0.2814717512420616,0.5750307457692594,0.74332
42,2021-10-27,0.42431378485979376,0.9733288847682449,0.9435749999999998
43,2021-10-28,0.32249392183363174,0.4778976414096737,0.7176000000000001
44,2021-10-29,0.2597087254895777,0.2653355729642016,0.627435
45,2021-11-01,0.35704872454208164,0.7747461830923001,0.8408050000000001
46,2021-11-02,0.30927186321531674,0.4720285218012482,0.7173449999999999
47,2021-11-03,0.33950002644896493,0.6957047771329179,0.8293349999999998
48,2021-11-04,0.2380288482348035,0.1606456098867466,0.5427899999999999
49,2021-11-05,0.3147942171134602,0.5304311708478957,0.7450100000000001
50,2021-11-08,0.38791670465525196,0.9816469325313915,0.94832
51,2021-11-09,0.3777188948191373,0.8787088394956788,0.8455600000000001
52,2021-11-10,0.3363847562568438,0.797981078101394,0.87309
53,2021-11-11,0.34742856033476155,0.5867878975321836,0.77977
54,2021-11-12,0.3399586574632695,0.61727812266123,0.804255
55,2021-11-15,0.38751856684683383,0.8267623419057559,0.8881449999999997
56,2021-11-16,0.3642843394770616,0.9207497946431508,0.89215
57,2021-11-17,0.36257605223022116,0.7097366196269022,0.843225
58,2021-11-18,0.38992582890299377,0.6314266560691181,0.8251149999999999
59,2021-11-19,0.28502559466678073,0.4122724901901015,0.6799799999999999
60,2021-11-22,0.360369208221412,0.8390177991171595,0.87632
61,2021-11-23,0.3657074711310583,0.8116159928310995,0.8861100000000001
62,2021-11-24,0.3611827528609041,0.8966019505695391,0.9176449999999997
63,2021-11-25,0.3406378699776017,0.7968643826227811,0.775265
64,2021-11-26,0.3010610591445272,0.6938557744441044,0.8055749999999999
65,2021-11-29,0.32024928012726345,0.6256087938598485,0.7699300000000001
66,2021-11-30,0.3486012178464232,0.737859607984172,0.8692200000000001
67,2021-12-01,0.3074836050646925,0.6622505377054779,0.7786349999999999
68,2021-12-02,0.4265782535615988,0.8626640565527299,0.93292
69,2021-12-03,0.3012421028016513,0.5569913882878434,0.7213149999999998
70,2021-12-06,0.3342969945402976,0.7289443317797569,0.85015
71,2021-12-07,0.36146526114446687,0.7506031474898968,0.8372499999999998
72,2021-12-08,0.31998187258994676,0.6123873405473113,0.7850699999999999
73,2021-12-09,0.3832887850881742,0.8661098693021593,0.88925
74,2021-12-10,0.26464094931428633,0.4747545471795174,0.699225
75,2021-12-13,0.31694315586739735,0.7118387762218477,0.8280449999999998
76,2021-12-14,0.30551424537362826,0.5666391879429336,0.69526
77,2021-12-15,0.27302264789800706,0.5818228365238551,0.65927
78,2021-12-16,0.3130753864941726,0.42833003391375996,0.683765
79,2021-12-17,0.2795098313073469,0.34808680709304385,0.6149149999999998
